type,drug_name,yj_code,expected_generic_code_from_yj,actual_generic_code,generic_name,match_type,exception_product_match
non_exact_generic_relation,ＨＭ散,2339178B1040,2339178B1ZZZ,2339178BAZZZ,【般】ジアスターゼ・生薬等配合散,prefix8_aggregate_or_exception,True
non_exact_generic_relation,チモプトールＸＥ点眼液０．２５％,1319702Q3037,1319702Q3ZZZ,1319702QAZZZ,【般】チモロール点眼液０．２５％（持続性）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,チモプトールＸＥ点眼液０．５％,1319702Q4033,1319702Q4ZZZ,1319702QBZZZ,【般】チモロール点眼液０．５％（持続性）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,ケトプロフェンテープ２０ｍｇ「日医工」　７ｃｍ×１０ｃｍ,2649729S2010,2649729S2ZZZ,2649729SAZZZ,【般】ケトプロフェンテープ２０ｍｇ（７×１０ｃｍ非温感）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,セルタッチパップ７０　１０ｃｍ×１４ｃｍ,2649731S1143,2649731S1ZZZ,2649731SAZZZ,【般】フェルビナクパップ７０ｍｇ（１０×１４ｃｍ非温感）,prefix8_aggregate_or_exception,False
non_exact_generic_relation,フェルビナクテープ７０ｍｇ「ＥＭＥＣ」　１０ｃｍ×１４ｃｍ,2649731S1178,2649731S1ZZZ,2649731SBZZZ,【般】フェルビナクテープ７０ｍｇ（１０×１４ｃｍ非温感）,prefix8_aggregate_or_exception,False
non_exact_generic_relation,モーラステープＬ４０ｍｇ　１０ｃｍ×１４ｃｍ,2649729S3084,2649729S3ZZZ,2649729SCZZZ,【般】ケトプロフェンテープ４０ｍｇ（１０×１４ｃｍ非温感）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,モーラステープ２０ｍｇ　７ｃｍ×１０ｃｍ,2649729S2169,2649729S2ZZZ,2649729SAZZZ,【般】ケトプロフェンテープ２０ｍｇ（７×１０ｃｍ非温感）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,ゼポラステープ４０ｍｇ　１０ｃｍ×１４ｃｍ,2649732S2047,2649732S2ZZZ,2649732SBZZZ,【般】フルルビプロフェンテープ４０ｍｇ（１０×１４ｃｍ非温感）,prefix8_aggregate_or_exception,False
non_exact_generic_relation,ナゾネックス点鼻液５０μｇ５６噴霧用　５ｍｇ１０ｇ,1329710Q1027,1329710Q1ZZZ,1329710QAZZZ,【般】モメタゾン点鼻液５０μｇ５６噴霧用,prefix8_aggregate_or_exception,True
non_exact_generic_relation,ケトプロフェンテープ２０ｍｇ「ラクール」　７ｃｍ×１０ｃｍ,2649729S2010,2649729S2ZZZ,2649729SBZZZ,【般】ケトプロフェンテープ２０ｍｇ（７×１０ｃｍ温感）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,ケトプロフェンテープ４０ｍｇ「ラクール」　１０ｃｍ×１４ｃｍ,2649729S3017,2649729S3ZZZ,2649729SDZZZ,【般】ケトプロフェンテープ４０ｍｇ（１０×１４ｃｍ温感）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,ビオヂアスミンＦ－２散,2316012A1124,2316012A1ZZZ,2316012AAZZZ,【般】ラクトミン原末,prefix8_aggregate_or_exception,False
non_exact_generic_relation,ヒルドイドローション０．３％,3339950Q1074,3339950Q1ZZZ,3339950QAZZZ,【般】ヘパリン類似物質外用液０．３％（乳剤性）,prefix8_aggregate_or_exception,True
non_exact_generic_relation,ケトプロフェンテープ４０ｍｇ「日医工」　１０ｃｍ×１４ｃｍ,2649729S3017,2649729S3ZZZ,2649729SCZZZ,【般】ケトプロフェンテープ４０ｍｇ（１０×１４ｃｍ非温感）,prefix8_aggregate_or_exception,True
